Model,Size (GiB),Params (B),Threads,Test,Speed (t/s),Error (t/s)
openelm 3B Q8_0,3.01,3.04,1,pp12,4.88,0.0
openelm 3B Q8_0,3.01,3.04,1,tg6,3.28,0.01
openelm 3B Q8_0,3.01,3.04,2,pp12,9.51,0.01
openelm 3B Q8_0,3.01,3.04,2,tg6,3.58,0.03
openelm 3B Q8_0,3.01,3.04,3,pp12,13.55,0.24
openelm 3B Q8_0,3.01,3.04,3,tg6,3.28,0.04
openelm 3B Q8_0,3.01,3.04,4,pp12,16.77,0.09
openelm 3B Q8_0,3.01,3.04,4,tg6,3.0,0.03
